img,f [Hz],V1 [mVpp],V2 [mVpp],phase
6,8002,4000,1100,-76.99
7,10000,4000,1337,-71.9
8,12000,4000,1575,-67.78
9,12990,4000,1699,-62.48
10,15980,4000,1960,-56.46
11,16990,4013,2080,-56.53
12,17980,4015,2160,-55.63
13,19000,3960,2240,-53.06
14,20000,3960,2339,-50.93
15,21000,3960,2360,-50.95
16,22000,3979,2456,-49.33
17,23000,3960,2480,-47.99
18,22990,3960,2480,-48.18
19,23980,3977,2560,-46.31
20,25000,3970,2600,-46.39
21,25990,3975,2640,-45.65
22,26970,3920,2734,-43.29
23,28010,3920,2720,-43.01
24,29030,3920,2800,-42.08
25,30000,3920,2850,-42.5
26,31000,3920,2880,-39.97
27,32030,3920,2880,-39.52
28,32960,3920,2979,-37.8
29,35030,3920,3000,-38.09
30,33950,3920,2960,-36.66
31,35970,3920,3040,-35.79
32,37020,3920,3040,-35.31
33,38020,3920,3080,-35.48
34,39030,3920,3120,-33.73
35,40020,3920,3120,-33.34
36,41010,3920,3179,-31.06
37,41980,3920,3219,-32.22
38,43040,3920,3200,-31.54
39,43950,3920,3200,-30.48
40,45020,3920,3255,-31.42
41,47030,3920,3280,-28.64
42,47980,3939,3280,-28.76
43,48950,3920,3280,-27.86
44,50020,3939,3337,-28.79
45,50960,3940,3376,-26.78
46,52020,3920,3360,-26.39
47,52960,3920,3360,-26.26
48,53990,3937,3360,-25.77
49,56950,3935,3418,-22.19
50,60060,3938,3440,-32.87
51,59970,3938,3440,-24.06
52,69970,3880,3540,-19.17
53,80060,3897,3575,-18.14
54,90060,3896,3600,-15.19
55,100000,3895,3600,-13.27
56,120000,3899,3640,-12.43
57,139900,3896,3680,-9.323
58,160000,3896,3680,-9.646
59,239600,3897,3738,-5.71
60,300100,3897,3720,-4.894
61,450200,3899,3779,-1.893
62,549900,3880,3760,-2.737
63,650200,3893,3760,-2.458
64,649400,3894,3760,-2.309
65,649800,3897,3760,-2.579
