,f [Hz],V1 [mVpp],V2 [mVpp],phase
72,1503,3920,3920,3.18
73,7987,3920,3797,16.33
74,9994,3920,3680,22.25
75,12000,3920,3520,22.45
76,14000,3920,3464,26.67
77,16040,3954,3280,30.09
78,18020,3952,3230,37.2
79,20030,3956,3040,39.28
80,22020,3952,2880,37.53
81,23950,3840,2837,40.54
82,26030,3840,2753,43.52
83,27920,3840,2560,46.07
84,29980,3840,2516,46.17
85,32000,3840,2434,49.31
86,34070,3840,2240,52.77
87,36100,3840,2272,51.9
88,38030,3840,2080,55.31
89,38080,3840,2080,54.9
90,39970,3840,2105,58.41
91,41930,3875,2106,59.01
92,43990,3840,1955,61.44
93,45920,3874,1952,61.42
94,47920,3874,1760,61.07
95,47930,3872,1760,62.05
96,50070,3840,1839,62.98
97,59980,3877,1440,65.71
98,69840,3873,1371,70.28
99,80080,3760,1214,72.44
100,100000,3760,990,75.36
101,150000,3760,691,81.24
102,199900,3873,510,81.51
103,299500,3760,349,82.56
104,450100,3874,256,74.63
105,599700,3840,200,67.02
