image, V1 [mVpp], V2 [mVpp], phase, frequency [kHz]
tek00232.png, 100.0, 103.0, -0.2949, 0.9980
tek00233.png, 100.0, 102.4, -0.6680, 1.998
tek00234.png, 100.0, 100.7, -1.837, 3.001
tek00235.png, 100.0, 100.6, -2.604, 4.008
tek00236.png, 100.0, 100.9, -1.808, 5.003
tek00237.png, 100.0, 98.00, -0.6133, 5.004
tek00238.png, 100.0, 100.6, 1.375, 5.993
tek00239.png, 100.0, 98.00, -0.09106, 6.996
tek00240.png, 100.0, 98.00, -0.4523, 6.984
tek00241.png, 100.0, 98.00, -0.4616, 10.01
tek00242.png, 100.0, 98.00, 1.196, 11.00
tek00243.png, 100.0, 98.00, 0.9774, 11.98
tek00244.png, 100.0, 98.00, 0.4566, 12.98
tek00245.png, 100.0, 98.00, -0.5012, 14.04
tek00246.png, 100.0, 98.00, 0.3007, 15.01
tek00247.png, 100.0, 98.00, -0.2355, 20.00
tek00248.png, 100.0, 98.00, 0.3551, 24.98
tek00249.png, 100.0, 98.00, 0.2598, 30.03
tek00250.png, 100.0, 98.00, 1.179, 35.00
tek00251.png, 100.0, 98.00, 0.7118, 39.93
tek00252.png, 100.0, 98.00, 3.996, 44.95
tek00253.png, 100.0, 98.00, 4.763, 49.88
tek00254.png, 100.0, 98.00, 3.785, 60.10
tek00255.png, 100.0, 98.00, 5.636, 69.96
tek00256.png, 100.0, 98.00, 4.793, 79.87
tek00257.png, 100.0, 98.00, 6.423, 90.01
tek00258.png, 100.0, 98.00, 5.420, 99.85
tek00259.png, 100.0, 98.00, 7.257, 119.7
tek00260.png, 100.0, 98.00, 8.991, 139.6
tek00261.png, 100.0, 98.00, 10.01, 149.8
tek00262.png, 100.0, 98.00, 12.36, 199.9
tek00263.png, 100.0, 98.00, 15.89, 249.6
tek00264.png, 100.0, 98.00, 17.82, 300.6
tek00265.png, 100.0, 98.00, 22.35, 349.9
tek00266.png, 100.0, 98.98, 24.40, 399.6
tek00267.png, 100.0, 98.91, 28.35, 450.6
tek00268.png, 100.0, 94.00, 30.54, 499.8
tek00269.png, 100.0, 94.00, 33.52, 549.9
tek00270.png, 100.0, 94.00, 37.03, 601.3
tek00271.png, 100.0, 92.98, 42.23, 698.6
tek00272.png, 100.0, 90.00, 45.83, 750.6
tek00273.png, 100.0, 90.95, 50.26, 800.2
tek00274.png, 100.0, 88.98, 54.28, 847.7
tek00275.png, 100.0, 86.00, 55.31, 899.6
tek00276.png, 100.0, 84.00, 58.77, 952.6
tek00277.png, 100.0, 84.93, 60.50, 999.9
tek00278.png, 100.0, 82.95, 62.82, 1049.0
tek00279.png, 100.0, 80.00, 67.76, 1099.0
tek00280.png, 100.9, 78.00, 69.34, 1149.0
tek00281.png, 100.7, 76.00, 73.58, 1201.0
tek00282.png, 100.9, 76.00, 76.95, 1249.0
tek00283.png, 98.95, 74.77, 81.82, 1300.0
tek00284.png, 98.80, 72.00, 81.82, 1352.0
tek00285.png, 98.00, 72.85, 83.52, 1400.0
tek00286.png, 96.00, 68.00, 85.88, 1451.0
tek00287.png, 96.00, 68.00, 87.25, 1500.0
tek00288.png, 96.00, 66.98, 88.30, 1548.0
tek00289.png, 96.00, 64.00, 93.33, 1599.0
tek00290.png, 96.00, 64.00, 95.49, 1649.0
tek00291.png, 96.00, 63.00, 94.86, 1702.0
tek00292.png, 96.00, 60.00, 99.95, 1749.0
tek00293.png, 96.00, 60.96, 100.7, 1796.0
tek00294.png, 96.00, 58.00, 104.0, 1850.0
tek00295.png, 96.00, 56.00, 106.9, 1902.0
tek00296.png, 96.00, 54.00, 113.0, 2000.0
tek00297.png, 96.00, 52.00, 114.7, 2100.0
tek00298.png, 97.70, 50.00, 117.4, 2198.0
tek00299.png, 92.00, 51.63, 123.8, 2304.0
tek00300.png, 92.00, 46.00, 127.7, 2398.0
tek00301.png, 92.00, 48.08, 130.0, 2407.0
tek00302.png, 93.88, 43.20, 135.4, 2596.0
tek00303.png, 93.15, 41.60, 138.1, 2699.0
tek00304.png, 92.00, 40.00, 146.5, 2897.0
tek00305.png, 91.20, 38.40, 149.3, 3002.0
tek00306.png, 90.40, 37.60, 151.7, 3096.0
tek00307.png, 90.40, 36.80, 156.4, 3197.0
tek00308.png, 89.60, 36.00, 158.6, 3297.0
tek00309.png, 89.81, 35.20, 163.1, 3400.0
tek00310.png, 88.80, 35.20, 166.5, 3500.0
tek00311.png, 89.00, 34.40, 171.4, 3603.0
tek00312.png, 88.35, 34.40, 177.9, 3699.0
tek00313.png, 87.20, 34.79, -179.8, 3800.0
tek00314.png, 87.20, 34.40, -175.4, 3902.0
tek00315.png, 86.40, 34.40, -171.3, 3999.0
tek00316.png, 84.80, 33.60, -146.4, 4503.0
tek00317.png, 83.52, 32.80, -114.3, 5006.0
tek00318.png, 81.60, 27.20, -82.77, 5507.0
tek00319.png, 80.80, 20.00, -58.55, 5987.0
tek00320.png, 81.15, 16.33, -43.62, 6504.0
tek00321.png, 80.00, 12.86, -32.98, 6993.0
tek00322.png, 80.98, 10.88, -24.21, 7495.0
tek00323.png, 80.80, 9.306, -14.06, 7993.0
tek00324.png, 81.69, 8.209, -12.74, 8494.0
tek00325.png, 82.64, 7.669, -14.13, 9003.0
tek00326.png, 82.40, 6.881, -6.255, 9490.0
tek00327.png, 83.20, 6.631, 0.00469, 10000.0
